record_id,title,claim,claim_type,evidence_excerpt,source_url,source_access_status,source_gap_reason,evidence_level,is_core_evidence,core_evidence_reason,review_status,role,notes,updated_at_utc,library_version_id,evidence_lifecycle,protocol_status,date_verification_status
817303961a6fdbdb,"A Comprehensive Review of Multimodal Emotion Recognition: Techniques, Challenges, and Future Directions",,,,https://doi.org/10.3390/biomimetics10070418,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
f44927b238ca9e6d,"A Comprehensive Survey of Convolutions in Deep Learning: Applications, Challenges, and Future Trends",,,,https://doi.org/10.1109/access.2024.3376441,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
33c325ecb6192789,A domain adaptation framework for cross-modality SAR 3D reconstruction point clouds segmentation utilizing LiDAR data,,,,https://doi.org/10.1016/j.jag.2024.104103,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
8aeb36c1889b580c,A global-local interaction and conditional consistency constrained diffusion model for SAR-guided optical image cloud removal,,,,https://doi.org/10.1016/j.jag.2025.105013,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
459c06d9122259dc,A Lightweight Adapter for Efficient Fine-Tuning in Computer Vision,,,,https://doi.org/10.21203/rs.3.rs-8843187/v1,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
e603b5496f60f172,A Multi-scale Generalized Shrinkage Threshold Network for Image Blind Deblurring in Remote Sensing,,,,http://arxiv.org/abs/2309.07524v2,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
6ec72b99afa00e95,A Multimodal Parallel Transformer Framework for Apple Disease Detection and Severity Classification with Lightweight Optimization,,,,https://doi.org/10.3390/agronomy15051246,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
ad74981bf4f26892,A multimodal travel route recommendation system leveraging visual Transformers and self-attention mechanisms,,,,https://doi.org/10.3389/fnbot.2024.1439195,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
ea89936ebdfefd00,A Neighborhood Attention-Based Adapter for Parameter-Efficient Vision-Language Model Tuning,,,,https://doi.org/10.1109/ccdc69976.2026.11559649,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
2e2058ceebff4dd1,A Novel Multi-scale Attention Feature Extraction Block for Aerial Remote Sensing Image Classification,,,,http://arxiv.org/abs/2308.14076v1,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
fee1c0ad4c4b51e4,A Progressive Image Restoration Network for High-order Degradation Imaging in Remote Sensing,,,,http://arxiv.org/abs/2412.07195v2,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
b545e1edc90dea78,A Review of Building Extraction From Remote Sensing Imagery: Geometrical Structures and Semantic Attributes,,,,https://doi.org/10.1109/tgrs.2024.3369723,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
3ff8aa1ee8c9daed,A Review of Generative Adversarial Networks (GANs) and Its Applications in a Wide Variety of Disciplines: From Medical to Remote Sensing,,,,https://doi.org/10.1109/access.2023.3346273,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
b17161510cec7187,A Review of Multi-Sensor Fusion in Autonomous Driving,,,,https://doi.org/10.3390/s25196033,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
6a10bd84028db18c,"A Review of Multimodal Explainable Artificial Intelligence: Past, Present and Future",,,,https://doi.org/10.48550/arxiv.2412.14056,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
0e5210530720b6ce,A review of remote sensing image segmentation by deep learning methods,,,,https://doi.org/10.1080/17538947.2024.2328827,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
e71bc7be697775ff,"A Review on Large Language Models: Architectures, Applications, Taxonomies, Open Issues and Challenges",,,,https://doi.org/10.1109/access.2024.3365742,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
b3b079401b594f99,A Survey of Deep Learning Road Extraction Algorithms Using High-Resolution Remote Sensing Images,,,,https://doi.org/10.3390/s24051708,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
5ba6e410f9ac6e32,"A Survey of Reasoning with Foundation Models: Concepts, Methodologies, and Outlook",,,,https://doi.org/10.1145/3729218,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
efbf4354892df2c0,A Survey of Text Classification With Transformers: How Wide? How Large? How Long? How Accurate? How Expensive? How Safe?,,,,https://doi.org/10.1109/access.2024.3349952,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
016e630ca1196fb5,A Survey of Token Compression for Efficient Multimodal Large Language Models,,,,http://arxiv.org/abs/2507.20198v5,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
73e111a346a92f48,A Survey on Convolutional Neural Networks and Their Performance Limitations in Image Recognition Tasks,,,,https://doi.org/10.1155/2024/2797320,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
234a9f701b773422,"A Survey on Intelligent Internet of Things: Applications, Security, Privacy, and Future Directions",,,,https://doi.org/10.1109/comst.2024.3430368,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
c31777c2ec8932fa,A Unified Framework with Multimodal Fine-tuning for Remote Sensing Semantic Segmentation,,,,http://arxiv.org/abs/2410.11160v2,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
227a28d36aecd794,ACAR: Adaptive Complexity Routing for Multi-Model Ensembles with Auditable Decision Traces,,,,http://arxiv.org/abs/2602.21231v1,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
194d31371ff32cb8,Adapter-Enhanced SAR-Optical Joint Segmentation With Primary Modality Regularization and Sparse Attention Adjustment,,,,https://doi.org/10.1111/phor.70053,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
8893d7aff42bd939,ADTransGAN: detail-enhanced and cross-modality alignment-optimized GAN for SAR-to-optical image translation,,,,https://doi.org/10.1080/01431161.2025.2571236,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
b551672b8f0418a9,Advances in Multimodal Adaptation and Generalization: From Traditional Approaches to Foundation Models,,,,http://arxiv.org/abs/2501.18592v4,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
11308c28a3dd5131,Agent Attention: On the Integration of Softmax and Linear Attention,,,,https://doi.org/10.48550/arxiv.2312.08874,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
2446f053b47f19fa,Agentic AI for Remote Sensing: Technical Challenges and Research Directions,,,,https://openalex.org/W7159547268,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
e0e2ee220126ef6e,AI4SNOW SnowGalileo Datasets and Model Checkpoints,,,,https://doi.org/10.48550/arxiv.2502.09356,,,metadata_or_abstract,,,unreviewed,build,,2026-08-19T17:29:11.892688+00:00,,provisional,not_checked,unverified
